"Aplicação do recurso","Especificação do material ou serviço","",""
"Capital"," Cadeirao para bebe","",""
"Capital"," Cadeirao para guarda-vidas","",""
"Capital"," Cadeirinha para crianca","",""
"Capital"," Caderia de madeira","",""
"Capital"," Cafeteira eletrica","",""
"Capital"," Caixa acustica","",""
"Capital"," Caixa acustica amplificada","",""
"Capital"," Caixa acustica para impressora brailler","",""
"Capital"," Caixa de guerra","",""
"Capital"," Caixa malacacheta","",""
"Capital"," Caixa para raio x","",""
"Capital"," Caixa para revelacao radiologica","",""
"Capital"," Caixa repique","",""
"Capital"," Caixa tarol","",""
"Capital"," Calandra","",""
"Capital"," Calculadora","",""
"Capital"," Calculadora eletrica","",""
"Capital"," Calculadora eletronica","",""
"Capital"," Calculadora financeira","",""
"Capital"," Calculadora grafica","",""
"Capital"," Calculadora mecanica","",""
"Capital"," Caleidoscopio","",""
"Capital"," Calibrador acustico","",""
"Capital"," Calibrador de pneus","",""
"Capital"," Cama de ferro","",""
"Capital"," Cama de madeira","",""
"Capital"," Cama dobravel","",""
"Capital"," Cama elastica","",""
"Capital"," Cama ginecologica","",""
"Capital"," Cama hospitalar","",""
"Capital"," Cama para massagem","",""
"Capital"," Cama para vacina","",""
"Capital"," Camara com lampada uv","",""
"Capital"," Camara de conservacao","",""
"Capital"," Camara de eco","",""
"Capital"," Camara de seguranca biologica","",""
"Capital"," Camara fotografica","",""
"Capital"," Camara frigorifica","",""
"Capital"," Camara para revelacao","",""
"Capital"," Cambao","",""
"Capital"," Camera de seguranca","",""
"Capital"," Camera de televisao","",""
"Capital"," Camera de video","",""
"Capital"," Cancela automatica","",""
"Capital"," Caneta de alta rotacao","",""
"Capital"," Caneta emissora laser","",""
"Capital"," Caneta para corte","",""
"Capital"," Caneta para gravacao","",""
"Capital"," Caneta para leitura optica","",""
"Capital"," Caneta para solda","",""
"Capital"," Caneta rapidograph","",""
"Capital"," Canhao","",""
"Capital"," Canhao de laser","",""
"Capital"," Canhao para agua","",""
"Capital"," Canhao seguidor","",""
"Capital"," Canteadeira","",""
"Capital"," Cantinho de madeira","",""
"Capital"," Cantoneira","",""
"Capital"," Cantoneira para correspondencia","",""
"Capital"," Capacimetro","",""
"Capital"," Capela de fluxo laminar","",""
"Capital"," Capela para exaustao de gases","",""
"Capital"," Capota","",""
"Capital"," Capsula para agulha","",""
"Capital"," Cardioscopio sinais vitais","",""
"Capital"," Cardiotocografo","",""
"Capital"," Cardioversor","",""
"Capital"," Carga fantasma","",""
"Capital"," Carregador de bateria","",""
"Capital"," Carregador de flash","",""
"Capital"," Carregador de gas","",""
"Capital"," Carregador de pilhas","",""
"Capital"," Carreta","",""
"Capital"," Carreta de bondinho","",""
"Capital"," Carreta para lancha","",""
"Capital"," Carreta para moto aquatica","",""
"Capital"," Carreta para transporte","",""
"Capital"," Carreta para transporte de caixoes e coroa flores","",""
"Capital"," Carreta rodoviaria","",""
"Capital"," Carrinho auxiliar","",""
"Capital"," Carrinho bate bate","",""
"Capital"," Carrinho de emergencia","",""
"Capital"," Carrinho de ferro","",""
"Capital"," Carrinho para bebe","",""
"Capital"," Carrinho para cilindros","",""
"Capital"," Carrinho para deficiente","",""
"Capital"," Carrinho para documentos","",""
"Capital"," Carrinho para ferramentas","",""
"Capital"," Carrinho para fichario","",""
"Capital"," Carrinho para leitura","",""
"Capital"," Carrinho para medicamentos","",""
"Capital"," Carrinho para pasta suspensa","",""
"Capital"," Carrinho para supermercado","",""
"Capital"," Carrinho para transporte","",""
"Capital"," Carrinho para transporte de livros","",""
"Capital"," Carrinho para transporte de materiais","",""
"Capital"," Carrinho para urna funeraria","",""
"Capital"," Carro auxiliar","",""
"Capital"," Carro bandeja","",""
"Capital"," Carro caixa","",""
"Capital"," Carro de alimento","",""
"Capital"," Carro de emergencia","",""
"Capital"," Carro de lixo","",""
"Capital"," Carro elevador","",""
"Capital"," Carro escada","",""
"Capital"," Carro funcional","",""
"Capital"," Carro funebre","",""
"Capital"," Carro infantil","",""
"Capital"," Carro maca","",""
"Capital"," Carro para cha","",""
"Capital"," Carro para cilindros","",""
"Capital"," Carro para curativo","",""
"Capital"," Carro para deficiente","",""
"Capital"," Carro para fita de arquear","",""
"Capital"," Carro para lavadora de alta pressao","",""
"Capital"," Carro para limpeza","",""
"Capital"," Carro para marmitas","",""
"Capital"," Carro para medicamentos","",""
"Capital"," Carro para paletes","",""
