Aplicação do recurso,Especificação do material ou serviço
Capital,Cadeira odontologica
Capital,Cadeira oftalmologica
Capital,Cadeira otorrinolaringologia
Capital,Cadeira para balcao
Capital,Cadeira para banho
Capital,Cadeira para barbeiro
Capital,Cadeira para cabeleireiro
Capital,Cadeira para coleta de sangue
Capital,Cadeira para massagem
Capital,Cadeira para raio x
Capital,Cadeira para refeitorio
Capital,Cadeira para turbilhao
Capital,Cadeira secretaria
Capital,Cadeira universitaria
Capital,Cadeira veicular
Capital,Cadeirao para bebe
Capital,Cadeirao para guarda-vidas
Capital,Cadeirinha para crianca
Capital,Caderia de madeira
Capital,Cafeteira eletrica
Capital,Caixa acustica
Capital,Caixa acustica amplificada
Capital,Caixa acustica para impressora brailler
Capital,Caixa de aquecimento para frasco de contraste
Capital,Caixa de guerra
Capital,Caixa de som
Capital,Caixa malacacheta
Capital,Caixa para raio x
Capital,Caixa para revelacao radiologica
Capital,Caixa repique
Capital,Caixa tarol
Capital,Caixa térmica com termômetro
Capital,Cajon
Capital,Calandra
Capital,Calculadora eletrica
Capital,Calculadora eletronica
Capital,Calculadora financeira
Capital,Calculadora grafica
Capital,Calculadora mecanica
Capital,Caleidoscopio
Capital,Calibrador acustico
Capital,Calibrador de pneus
Capital,Cama de ferro
Capital,Cama de madeira
Capital,Cama dobravel
Capital,Cama elastica
Capital,Cama ginecologica
Capital,Cama hospitalar
Capital,Cama para massagem
Capital,Cama para vacina
Capital,Camara com lampada uv
Capital,Camara de conservacao
Capital,Camara de eco
Capital,Câmara de gás para  roedores
Capital,Camara de seguranca biologica
Capital,Camara fotografica
Capital,Camara frigorifica
Capital,Camara para revelacao
Capital,Cambao
Capital,Camera de seguranca
Capital,Camera de televisao
Capital,Camera de video
Capital,Câmera digital
Capital,Câmera fotográfica
Capital,Camera video conferencia
Capital,Caminhão
Capital,Caminhão basculante
Capital,Caminhão carroceria
Capital,Caminhão pipa
Capital,Campímetro
Capital,Cancela automatica
Capital,Cancela manual
Capital,Caneta de alta rotacao
Capital,Caneta emissora laser
Capital,Caneta para corte
Capital,Caneta para gravacao
Capital,Caneta para leitura optica
Capital,Caneta rapidograph
Capital,Canhao
Capital,Canhao de laser
Capital,Canhao para agua
Capital,Canhao seguidor
Capital,Canil
Capital,Canteadeira
Capital,Cantinho de leitura
Capital,Cantinho de madeira
Capital,Cantoneira
Capital,Cantoneira para correspondencia
Capital,Cão
Capital,Capacimetro
Capital,Capela de fluxo laminar
Capital,Capela para exaustao de gases
Capital,Capota
Capital,Capsula para agulha
Capital,Cardioscopio sinais vitais
Capital,Cardiotocografo
Capital,Cardioversor
Capital,Carga fantasma
Capital,Carregador de bateria
Capital,Carregador de flash
Capital,Carregador de gas
Capital,Carregador de pilhas
Capital,Carreta
Capital,Carreta de bondinho
Capital,Carreta para lancha
Capital,Carreta para moto aquatica
Capital,Carreta para transporte
Capital,Carreta para transporte de caixoes e coroa flores
Capital,Carreta reboque tipo prancha
Capital,Carreta rodoviaria
Capital,Carrinho auxiliar
Capital,Carrinho bate bate
Capital,Carrinho de emergencia
Capital,Carrinho de ferro
Capital,Carrinho de limpeza
Capital,Carrinho para bebe
Capital,Carrinho para cilindros
Capital,Carrinho para deficiente
Capital,Carrinho para documentos
Capital,Carrinho para endoscopia
Capital,Carrinho para fichario
Capital,Carrinho para leitura
Capital,Carrinho para medicamentos
Capital,Carrinho para pasta suspensa
Capital,Carrinho para supermercado
Capital,Carrinho para transporte
Capital,Carrinho para transporte de livros
Capital,Carrinho para transporte de materiais
Capital,Carrinho para urna funeraria
Capital,Carro auxiliar
Capital,Carro bandeja
Capital,Carro caixa
Capital,Carro cuba
Capital,Carro de alimento
Capital,Carro de emergencia
Capital,Carro de lixo
Capital,Carro de primeira leitura
Capital,Carro elevador
Capital,Carro escada
Capital,Carro funcional
Capital,Carro funebre
Capital,Carro infantil
Capital,Carro maca
Capital,Carro para cha
Capital,Carro para cilindros
Capital,Carro para curativo
Capital,Carro para deficiente
Capital,Carro para fita de arquear
Capital,Carro para lavadora de alta pressao
Capital,Carro para limpeza
Capital,Carro para marmitas
Capital,Carro para medicamentos
Capital,Carro para paletes
Capital,Carro para pasta suspensa
Capital,Carro para recem nascido
Capital,Carro para roupa
Capital,Carro para transporte
Capital,Carro para transporte de alimentos
Capital,Carro para transporte de roupa
Capital,Carro para transporte de urna mortuaria
Capital,Carro para transportes de livros
Capital,Carro plataforma
Capital,Carro termico
Capital,Carroceria
Capital,Carroceria bau
Capital,Carroceria de madeira
Capital,Carrossel
Capital,Carrossel para slides
Capital,Carteira
Capital,Carteira escolar
Capital,Carteira infantil
Capital,Carteira universitaria
Capital,Casa de boneca
Capital,Casador de impedancia
Capital,Cascata de chocolate
Capital,Casinha
Capital,Casinha infantil
Capital,Castical
Capital,Catraca
Capital,Catraca para tubos de ferro
Capital,Cavalete
Capital,Cavalete de apoio
Capital,Cavalete de madeira
Capital,Cavalete para blocao
Capital,Cavalete para cartazes
Capital,Cavalete para costura
Capital,Cavalete para desenho
Capital,Cavalete para flanelografo
Capital,Cavalete para flip chart
Capital,Cavalete para imantografos
Capital,Cavalete para pintura
Capital,Cavalete para prancheta
Capital,Cavalete para tear
Capital,Cavalete para urna funeraria
Capital,Cavalo com alcas
Capital,Cavalo de pau
Capital,Cavalo olimpico
Capital,Cavalo para salto
Capital,Cavalo thunder
Capital,Cavaquinho
Capital,Caxixi
Capital,Cd player
Capital,Cd player para dj
Capital,Cenario para fantoches
Capital,Central de alarme
Capital,Central de gases medicinais
Capital,Central de monitoramento
Capital,Central de monitorizacao fisiologica
Capital,Central de monitorizacao multiparametrico
Capital,Central p/interfones
Capital,Central para mesa de iluminacao
Capital,Central telefonica
Capital,Central telefonica ks
Capital,Central telefonica pabx
Capital,Centrifuga
Capital,Centrifuga sorologica
Capital,Centrifugador
Capital,Centrifugador de frutas
Capital,Centrifugador microhematocrito
Capital,Centrifugadora
Capital,Centrifugadora de roupas
Capital,Centrimicro para microhematocrito
Capital,Ceratometro
Capital,Chancela
Capital,Chapa aquecedora
Capital,Chapa bifeteira
Capital,Chapeira para cartao de ponto
Capital,Chaveiro de madeira
Capital,Chiqueirinho
Capital,Chuveiro lava olhos
Capital,Cilindro para mergulho
Capital,Cintel
Capital,Circulador de ar
Capital,Circulador de ar e aquecedor
Capital,Clarinete
Capital,Climatizador de ar
Capital,Clinometro
Capital,Clorimetro dpd
Capital,Coagulometro
Capital,Cofre
Capital,Coifa
Capital,Coladeira de filme
Capital,Colchão pneumático com motor
Capital,Coletor compactador
Capital,Coletor de dados
Capital,Coletor de dados para gps
Capital,Coletor de lixo
Capital,Coletor de oleo
Capital,Coletor de roupa hamper
Capital,Colméia organizadora
Capital,Colocador de ilhoes
Capital,Colocadora de espirais
Capital,Colposcopio
Capital,Colpovirgoscopio
Capital,Coluna de madeira
Capital,Coluna pantografica
Capital,Coluna para aparelho oftalmologico
Capital,Coluna para raio x
Capital,Coluna para refrator
Capital,Comando de bomba
Capital,Comando de graxa para abastecimento
Capital,Comoda
Capital,Compact disc
Capital,Comparador colorimetro
Capital,Complemento de mesa
Capital,Compressor de audio
Capital,Compressor de voz
Capital,Compressor limitador de audio
Capital,Compressor multicom
Capital,Compressor radial
Capital,Comutador para micro e impressora
Capital,Conj.completo p/abastecimento de oleo diesel
Capital,Conjunto autonomo
Capital,Conjunto de lixeiras
Capital,Conjunto de longarinas
Capital,Conjunto de mesa
Capital,Conjunto de nefrostomia percutânea
Capital,Conjunto de percussao
Capital,Conjunto de proteção individual
Capital,Conjunto de retinoscopio e oftalmoscopio
Capital,Conjunto de solda
Capital,Conjunto de solda a oxiacetileno
Capital,Conjunto lubrefil
Capital,Conjunto olimpico
Capital,Conjunto para salto em altura
Capital,Console de audio
Capital,Console para central de operacoes
Capital,Consolete de comando remoto
Capital,Contador de celulas
Capital,Container
Capital,Contra angulo
Capital,Contra baixo
Capital,Controlador
Capital,Controlador de acesso
Capital,Controlador de cameras
Capital,Controlador de ganho
Capital,Controlador de semaforo
Capital,Controlador de slide
Capital,Controle automatico de tempo
Capital,Conversor de energia
Capital,Conversor de midia
Capital,Conversor de solda
Capital,Conversor de video digital
Capital,Conversor otico
Capital,Conversor sincrono
Capital,Coordenatografo
Capital,Copiadora
Capital,Copiadora compacta
Capital,Corneta
Capital,Corneta de som
Capital,Corneta em fa
Capital,Corneta em sib
Capital,Cornetao
Capital,Cornetas difusora
Capital,Cornetin
Capital,Cortadeira de papel
Capital,Cortadeira eletrica
Capital,Cortadeira manual
Capital,Cortador de amostras
Capital,Cortador de chapa
Capital,Cortador de ferro
Capital,Cortador de fitas
Capital,Cortador de frios
Capital,Cortador de grama
Capital,Cortador de legumes
Capital,Cortador de piso
Capital,Cortadora de tecidos
Capital,Cortina de ar
Capital,Costotomo
Capital,Criado mudo
Capital,Criocautério dermatológico
Capital,Criocauterio ginecologico
Capital,Criostato
Capital,Cristaleira
Capital,Cronometro
Capital,Crossover
Capital,Crucifixo
Capital,Cuffômetro
Capital,Cuica
Capital,Cultivador motorizado
Capital,Curvador
Capital,Curvimetro
Capital,Cuspideira
Capital,Dardo
Capital,Datalogger
Capital,Decibelimetro
Capital,Deck de rolo
Capital,Decodificador
Capital,Decodificador de codigo de barra
Capital,Deionizador
Capital,Delay
Capital,Delimitador de filas
Capital,Delineador paralelômetro
Capital,Densitometro
Capital,Depurador de ar
Capital,Dermatoscópio
Capital,Desempenadeira
Capital,Desencarcerador
Capital,Desengrossadeira
Capital,Desentupidor de esgoto
Capital,Desenvolvimento de ombros
Capital,Desfibrilador
Capital,Desgravador e renovador de fita magnetica k7
Capital,Desintegrador
Capital,Desmontadora hidraulica de pneus
Capital,Destilador de agua
Capital,Desumidificador de ar
Capital,Desumidificador de papel
Capital,Detector de batimento cardiaco fetal
Capital,Detector de gas para oxigênio
Capital,Detector de metais
Capital,Detector de partículas
Capital,Detector de radiação
Capital,Detector de tubulacoes
Capital,Detector de vazamento
Capital,Detector de veiculos
Capital,Detector fetal
Capital,Dialer p/chamadas telefonicas automaticas
Capital,Digital delay
Capital,Digitalizador
Capital,Digitalizador de imagens radiográficas
Capital,Digitalizador de radiologia
Capital,Digitalizadora de microfilme
Capital,Dinamometro
Capital,Dinamometro dorsal
Capital,Direct box
Capital,Disc laser
Capital,Discman
Capital,Disjuntor tripolar on board
Capital,Disk array
Capital,Dispensette digital
Capital,Display expositor
Capital,Dispositivo hidraulico
Capital,Dispositivo para transferência de paciente
Capital,Dispositivo reutilizável de biópsia
Capital,Distanciometro
Capital,Distribuidor de audio
Capital,Distribuidor de composto orgânico
Capital,Distribuidor de sinal
Capital,Ditafone
Capital,Diva
Capital,Diva ginecologico
Capital,Divisor radiográfico
Capital,Divisora de massas
Capital,Dobradeira de papel
Capital,Doc station
Capital,Doppler vascular
Capital,Dosador de nivel constante
Capital,Driver de compressao
Capital,Drone
Capital,Ducha elétrica
Capital,Duplicador de cd
Capital,Duplicador de quad
Capital,Duplicador digital
Capital,Dvd player com karaoke
Capital,Dvd player e video cassete
Capital,Ecógrafo
Capital,Eletro neuromiografo
Capital,Eletrocardiografo
Capital,Eletrocauterio
Capital,Eletroencefalograma
Capital,Eletroestimulador
Capital,Eletroestimulador diadinamico
Capital,Eletrola
Capital,Eletrola portatil
Capital,Eletronistagmografo
Capital,Elevador de canecas
Capital,Elevador de piscina
Capital,Elevador de veiculos
Capital,Eliminador de microfonia
Capital,Eliptico
Capital,Embaladeira
Capital,Embalador de guarda-chuvas molhados
Capital,Emissor de senha
Capital,Empilhadeira
Capital,Encadernadora
Capital,Enceradeira
Capital,Enclosure
Capital,Endoscopio
Capital,Engraxadeira
Capital,Enroladeira de filmes
Capital,Episcopio
Capital,Equalizador
Capital,Equalizador de som
Capital,Equalizador grafico
Capital,Equipamento de manometria anorretal
Capital,Equipamento de teste de injetor e motor de passo
Capital,Equipamento dieselimpo
Capital,Equipamento para exame otoneurológico
Capital,Equipamento para jateamento
Capital,Equipamento para limpeza e teste de injetores
Capital,Equipo odontologico
Capital,Escada
Capital,Escada de aluminio
Capital,Escada de canto
Capital,Escada de madeira
Capital,Escada extensivel
Capital,Escada para diva
Capital,Escada para fisioterapia
Capital,Escaleta
Capital,Escaninho
Capital,Escaninho de madeira
Capital,Esclerometro
Capital,Escorredor de pratos industrial
Capital,Escorregador
Capital,Escrivaninha
Capital,Escrivaninha de aco
Capital,Escrivaninha de madeira
Capital,Esfectropometro
Capital,Esfigmomanometro
Capital,Esguicho canhao
Capital,Esmaltadeira
Capital,Esmeril
Capital,Esmeril de bancada
Capital,Esmerilhadeira
Capital,Esmerilhadeira angular
Capital,Espaldar de madeira
Capital,Espectrofotometro
Capital,Espelho
Capital,Espingarda
Capital,Espirometro
Capital,Espremedor
Capital,Espremedor de frutas
Capital,Espremedor de legumes
Capital,Espremedor de sucos
Capital,Esquadrejadeira
Capital,Esqueleto animal
Capital,Esqueleto humano
Capital,Esqui
Capital,Estabiliazdor de voltagem
Capital,Estabilizador
Capital,Estação de automação para laboratório
Capital,Estacao de musculacao
Capital,Estacao de solda
Capital,Estacao de trabalho
Capital,Estação de tratamento para resíduos radiológicos
Capital,Estacao fixa
Capital,Estacao repetidora
Capital,Estacao total
Capital,Estadiometro
Capital,Estante
Capital,Estante para partitura
Capital,Estante sinfonica
Capital,Estativa para raio x
Capital,Esteira eletrica
Capital,Esteira ergometrica
Capital,Estereomicroscopio
Capital,Estereoscopio
Capital,Esterilizador de ar
Capital,Esterilizador de mamadeira
Capital,Esterilizador de xicaras
Capital,Esticador e encolhedor universal
Capital,Esticador hidraulico
Capital,Estimulador calorico
Capital,Estimulador de musculo
Capital,Estimulador optocinetico
Capital,Estimulador pélvico
Capital,Estimulador visual
Capital,Estrado de madeira
Capital,Estufa bacteriologica
Capital,Estufa para alimentos
Capital,Estufa para placas filtrantes
Capital,Estufa para ressecagem
Capital,Estufa para secagem de filme
Capital,Estufa para secagem de plantas
